Team,Win-Loss Record,Win %,MOV,ATS,Year
New England,17-2-0,89.5%,6.6,+4.3,2003
Kansas City,13-4-0,76.5%,8.5,+2.9,2003
Indianapolis,14-5-0,73.7%,7.3,+4.5,2003
Philadelphia,13-5-0,72.2%,4.4,+1.8,2003
Tennessee,13-5-0,72.2%,6.2,+3.0,2003
LA Rams,12-5-0,70.6%,6.6,+1.9,2003
Carolina,14-6-0,70.0%,2.7,+2.1,2003
Miami,10-6-0,62.5%,3.1,+0.3,2003
Green Bay,11-7-0,61.1%,7.7,+4.6,2003
Seattle,10-7-0,58.8%,4.2,+1.7,2003
Dallas,10-7-0,58.8%,0.6,-0.1,2003
Baltimore,10-7-0,58.8%,6.3,+5.0,2003
Denver,10-7-0,58.8%,2.9,+0.4,2003
Minnesota,9-7-0,56.3%,3.9,+0.6,2003
Cincinnati,8-8-0,50.0%,-2.4,-0.1,2003
New Orleans,8-8-0,50.0%,0.9,+1.0,2003
Chicago,7-9-0,43.8%,-3.9,-0.2,2003
Tampa Bay,7-9-0,43.8%,2.3,-1.4,2003
San Francisco,7-9-0,43.8%,2.9,+2.4,2003
NY Jets,6-10-0,37.5%,-1.0,+0.4,2003
Buffalo,6-10-0,37.5%,-2.3,-1.5,2003
Pittsburgh,6-10-0,37.5%,-1.7,-2.4,2003
Washington,5-11-0,31.3%,-5.3,-2.8,2003
Cleveland,5-11-0,31.3%,-4.3,-2.5,2003
Detroit,5-11-0,31.3%,-6.8,-1.3,2003
Jacksonville,5-11-0,31.3%,-3.4,-0.2,2003
Atlanta,5-11-0,31.3%,-7.7,-3.4,2003
Houston,5-11-0,31.3%,-7.8,-0.9,2003
Las Vegas,4-12-0,25.0%,-6.8,-4.8,2003
NY Giants,4-12-0,25.0%,-9.0,-8.1,2003
Arizona,4-12-0,25.0%,-14.2,-7.3,2003
LA Chargers,4-12-0,25.0%,-8.0,-3.8,2003
New England,17-2-0,89.5%,11.1,+4.7,2004
Pittsburgh,16-2-0,88.9%,6.1,+3.3,2004
Philadelphia,15-4-0,79.0%,8.1,+2.6,2004
Indianapolis,13-5-0,72.2%,9.9,+4.9,2004
LA Chargers,12-5-0,70.6%,7.6,+7.9,2004
Atlanta,12-6-0,66.7%,0.9,-1.2,2004
NY Jets,11-7-0,61.1%,4.0,+2.9,2004
Green Bay,10-7-0,58.8%,1.8,-0.4,2004
Denver,10-7-0,58.8%,3.1,-0.9,2004
Baltimore,9-7-0,56.3%,3.1,+1.1,2004
Jacksonville,9-7-0,56.3%,-1.2,-0.1,2004
Buffalo,9-7-0,56.3%,6.9,+6.4,2004
Seattle,9-8-0,52.9%,-0.5,-4.2,2004
Minnesota,9-9-0,50.0%,0.6,-1.9,2004
New Orleans,8-8-0,50.0%,-3.6,-0.9,2004
LA Rams,9-9-0,50.0%,-5.3,-6.5,2004
Cincinnati,8-8-0,50.0%,0.1,+2.3,2004
Kansas City,7-9-0,43.8%,3.0,+1.6,2004
Houston,7-9-0,43.8%,-1.9,+1.5,2004
Carolina,7-9-0,43.8%,1.0,+1.4,2004
Dallas,6-10-0,37.5%,-7.0,-5.4,2004
NY Giants,6-10-0,37.5%,-2.8,-0.1,2004
Detroit,6-10-0,37.5%,-3.4,-1.4,2004
Arizona,6-10-0,37.5%,-2.4,+1.5,2004
Washington,6-10-0,37.5%,-1.6,-0.3,2004
Tennessee,5-11-0,31.3%,-5.9,-5.9,2004
Tampa Bay,5-11-0,31.3%,-0.2,+0.5,2004
Chicago,5-11-0,31.3%,-6.3,-1.8,2004
Las Vegas,5-11-0,31.3%,-7.6,-4.9,2004
Cleveland,4-12-0,25.0%,-7.1,-1.6,2004
Miami,4-12-0,25.0%,-4.9,-0.2,2004
San Francisco,2-14-0,12.5%,-12.1,-6.4,2004
Indianapolis,14-3-0,82.4%,11.1,+2.3,2005
Seattle,15-4-0,79.0%,10.5,+6.3,2005
Denver,14-4-0,77.8%,7.4,+3.9,2005
Pittsburgh,15-5-0,75.0%,8.8,+6.1,2005
Jacksonville,12-5-0,70.6%,3.9,+2.4,2005
Carolina,13-6-0,68.4%,7.5,+4.7,2005
Tampa Bay,11-6-0,64.7%,1.1,-0.8,2005
NY Giants,11-6-0,64.7%,5.0,+2.2,2005
Cincinnati,11-6-0,64.7%,3.4,-0.1,2005
Chicago,11-6-0,64.7%,2.9,+2.5,2005
Kansas City,10-6-0,62.5%,4.9,+3.6,2005
New England,11-7-0,61.1%,2.9,-0.1,2005
Washington,11-7-0,61.1%,3.5,+2.9,2005
LA Chargers,9-7-0,56.3%,6.6,+3.5,2005
Miami,9-7-0,56.3%,0.1,+2.6,2005
Dallas,9-7-0,56.3%,1.1,-0.2,2005
Minnesota,9-7-0,56.3%,-2.4,-1.5,2005
Atlanta,8-8-0,50.0%,0.6,-1.7,2005
LA Rams,6-10-0,37.5%,-4.1,-3.8,2005
Philadelphia,6-10-0,37.5%,-4.9,-4.8,2005
Cleveland,6-10-0,37.5%,-4.3,-0.7,2005
Baltimore,6-10-0,37.5%,-2.1,-0.8,2005
Buffalo,5-11-0,31.3%,-6.0,-3.7,2005
Arizona,5-11-0,31.3%,-4.8,-2.0,2005
Detroit,5-11-0,31.3%,-5.7,-3.3,2005
Las Vegas,4-12-0,25.0%,-5.8,-3.1,2005
NY Jets,4-12-0,25.0%,-7.2,-2.6,2005
San Francisco,4-12-0,25.0%,-11.8,-2.6,2005
Tennessee,4-12-0,25.0%,-7.6,-4.0,2005
Green Bay,4-12-0,25.0%,-2.9,-0.7,2005
New Orleans,3-13-0,18.8%,-10.2,-6.1,2005
Houston,2-14-0,12.5%,-10.7,-5.2,2005
LA Chargers,14-3-0,82.4%,10.9,+4.4,2006
Indianapolis,16-4-0,80.0%,5.4,-0.2,2006
Chicago,15-4-0,79.0%,9.9,+4.0,2006
Baltimore,13-4-0,76.5%,8.4,+5.6,2006
New England,14-5-0,73.7%,8.8,+4.7,2006
Philadelphia,11-7-0,61.1%,3.9,+1.2,2006
New Orleans,11-7-0,61.1%,3.8,+4.2,2006
NY Jets,10-7-0,58.8%,0.0,+1.9,2006
Denver,9-7-0,56.3%,0.9,-2.5,2006
Seattle,10-8-0,55.6%,-0.4,-2.4,2006
Dallas,9-8-0,52.9%,4.4,-0.7,2006
Kansas City,9-8-0,52.9%,0.1,+0.2,2006
Tennessee,8-8-0,50.0%,-4.8,+1.6,2006
Pittsburgh,8-8-0,50.0%,2.4,-0.5,2006
Jacksonville,8-8-0,50.0%,6.1,+4.2,2006
Green Bay,8-8-0,50.0%,-4.1,-1.0,2006
LA Rams,8-8-0,50.0%,-0.9,-0.2,2006
Cincinnati,8-8-0,50.0%,2.6,+0.5,2006
Carolina,8-8-0,50.0%,-2.2,-4.3,2006
NY Giants,8-9-0,47.1%,-0.6,-1.6,2006
Buffalo,7-9-0,43.8%,-0.7,+2.5,2006
Atlanta,7-9-0,43.8%,-2.3,-3.4,2006
San Francisco,7-9-0,43.8%,-7.1,-1.8,2006
Minnesota,6-10-0,37.5%,-2.8,-2.4,2006
Miami,6-10-0,37.5%,-1.4,-1.1,2006
Houston,6-10-0,37.5%,-6.2,-0.5,2006
Arizona,5-11-0,31.3%,-4.7,-1.1,2006
Washington,5-11-0,31.3%,-4.3,-2.2,2006
Cleveland,4-12-0,25.0%,-7.4,-2.4,2006
Tampa Bay,4-12-0,25.0%,-8.9,-4.1,2006
Detroit,3-13-0,18.8%,-5.8,-1.8,2006
Las Vegas,2-14-0,12.5%,-10.3,-3.5,2006
New England,18-1-0,94.7%,17.5,+4.1,2007
Green Bay,14-4-0,77.8%,9.1,+6.2,2007
Indianapolis,13-4-0,76.5%,10.8,+4.2,2007
Dallas,13-4-0,76.5%,7.4,+1.4,2007
NY Giants,14-6-0,70.0%,2.1,+2.8,2007
LA Chargers,13-6-0,68.4%,7.1,+3.2,2007
Jacksonville,12-6-0,66.7%,5.4,+4.5,2007
Cleveland,10-6-0,62.5%,1.3,+2.0,2007
Seattle,11-7-0,61.1%,5.6,+2.3,2007
Pittsburgh,10-7-0,58.8%,7.2,+1.5,2007
Tennessee,10-7-0,58.8%,-0.4,-1.0,2007
Washington,9-8-0,52.9%,0.2,+0.7,2007
Tampa Bay,9-8-0,52.9%,3.2,+2.6,2007
Philadelphia,8-8-0,50.0%,2.3,+1.8,2007
Arizona,8-8-0,50.0%,0.3,+0.7,2007
Minnesota,8-8-0,50.0%,3.4,+3.3,2007
Houston,8-8-0,50.0%,-0.3,+1.6,2007
Cincinnati,7-9-0,43.8%,-0.3,-1.2,2007
Detroit,7-9-0,43.8%,-6.1,-3.3,2007
Chicago,7-9-0,43.8%,-0.9,0.0,2007
Denver,7-9-0,43.8%,-5.6,-5.5,2007
Buffalo,7-9-0,43.8%,-6.4,-0.9,2007
New Orleans,7-9-0,43.8%,-0.6,-3.3,2007
Carolina,7-9-0,43.8%,-5.0,-2.4,2007
San Francisco,5-11-0,31.3%,-9.1,-3.6,2007
Baltimore,5-11-0,31.3%,-6.8,-5.4,2007
NY Jets,4-12-0,25.0%,-5.4,-0.6,2007
Atlanta,4-12-0,25.0%,-9.7,-4.0,2007
Las Vegas,4-12-0,25.0%,-7.2,-2.3,2007
Kansas City,4-12-0,25.0%,-6.8,-3.1,2007
LA Rams,3-13-0,18.8%,-10.9,-6.2,2007
Miami,1-15-0,6.3%,-10.6,-4.4,2007
Pittsburgh,15-4-0,79.0%,7.8,+4.0,2008
Tennessee,13-4-0,76.5%,8.1,+4.5,2008
NY Giants,12-5-0,70.6%,7.1,+2.8,2008
Indianapolis,12-5-0,70.6%,4.3,+0.4,2008
Carolina,12-5-0,70.6%,3.8,+0.7,2008
New England,11-5-0,68.8%,6.3,+2.0,2008
Baltimore,13-6-0,68.4%,8.1,+8.0,2008
Atlanta,11-6-0,64.7%,3.5,+4.1,2008
Miami,11-6-0,64.7%,0.6,+0.9,2008
Philadelphia,11-7-1,61.1%,7.6,+3.9,2008
Arizona,12-8-0,60.0%,1.5,+1.4,2008
Minnesota,10-7-0,58.8%,2.0,+0.4,2008
NY Jets,9-7-0,56.3%,3.1,+0.4,2008
Dallas,9-7-0,56.3%,-0.2,-4.6,2008
Chicago,9-7-0,56.3%,1.6,+0.5,2008
Tampa Bay,9-7-0,56.3%,2.4,-0.3,2008
Denver,8-8-0,50.0%,-4.9,-6.0,2008
Washington,8-8-0,50.0%,-1.9,-2.1,2008
Houston,8-8-0,50.0%,-1.8,-1.1,2008
LA Chargers,9-9-0,50.0%,4.8,+0.9,2008
New Orleans,8-8-0,50.0%,4.4,+3.5,2008
Buffalo,7-9-0,43.8%,-0.4,-1.1,2008
San Francisco,7-9-0,43.8%,-2.6,0.0,2008
Green Bay,6-10-0,37.5%,2.4,+1.3,2008
Jacksonville,5-11-0,31.3%,-4.1,-4.2,2008
Las Vegas,5-11-0,31.3%,-7.8,-1.1,2008
Cincinnati,4-11-1,26.7%,-10.0,-3.1,2008
Seattle,4-12-0,25.0%,-6.1,-2.5,2008
Cleveland,4-12-0,25.0%,-7.4,-2.5,2008
Kansas City,2-14-0,12.5%,-9.3,-2.0,2008
LA Rams,2-14-0,12.5%,-14.6,-6.3,2008
Detroit,0-16-0,0.0%,-15.6,-7.1,2008
Indianapolis,16-3-0,84.2%,6.6,+1.9,2009
New Orleans,16-3-0,84.2%,11.4,+4.8,2009
LA Chargers,13-4-0,76.5%,7.7,+3.2,2009
Minnesota,13-5-0,72.2%,10.3,+4.7,2009
Dallas,12-6-0,66.7%,5.6,+1.5,2009
Green Bay,11-6-0,64.7%,9.3,+4.4,2009
Philadelphia,11-6-0,64.7%,4.2,+0.1,2009
Arizona,11-7-0,61.1%,1.4,-1.1,2009
New England,10-7-0,58.8%,7.2,+1.6,2009
Cincinnati,10-7-0,58.8%,0.2,-0.4,2009
NY Jets,11-8-0,57.9%,5.9,+5.5,2009
Pittsburgh,9-7-0,56.3%,2.8,-3.1,2009
Atlanta,9-7-0,56.3%,2.4,+2.3,2009
Houston,9-7-0,56.3%,3.4,+1.5,2009
Baltimore,10-8-0,55.6%,7.3,+3.2,2009
Tennessee,8-8-0,50.0%,-3.0,-4.1,2009
NY Giants,8-8-0,50.0%,-1.6,-5.0,2009
Denver,8-8-0,50.0%,0.1,+0.6,2009
San Francisco,8-8-0,50.0%,3.1,+3.1,2009
Carolina,8-8-0,50.0%,0.4,+3.0,2009
Chicago,7-9-0,43.8%,-3.0,-2.1,2009
Jacksonville,7-9-0,43.8%,-5.6,-5.0,2009
Miami,7-9-0,43.8%,-1.9,+0.5,2009
Buffalo,6-10-0,37.5%,-4.3,-0.5,2009
Cleveland,5-11-0,31.3%,-8.1,-1.0,2009
Las Vegas,5-11-0,31.3%,-11.4,-2.8,2009
Seattle,5-11-0,31.3%,-6.9,-4.6,2009
Kansas City,4-12-0,25.0%,-8.1,-1.4,2009
Washington,4-12-0,25.0%,-4.4,-1.9,2009
Tampa Bay,3-13-0,18.8%,-9.8,-1.5,2009
Detroit,2-14-0,12.5%,-14.5,-4.8,2009
LA Rams,1-15-0,6.3%,-16.3,-6.5,2009
New England,14-3-0,82.4%,11.6,+7.1,2010
Atlanta,13-4-0,76.5%,5.8,+1.9,2010
Pittsburgh,14-5-0,73.7%,7.8,+4.1,2010
Baltimore,13-5-0,72.2%,5.7,+1.6,2010
Green Bay,14-6-0,70.0%,9.7,+6.6,2010
NY Jets,13-6-0,68.4%,3.5,+2.4,2010
Chicago,12-6-0,66.7%,2.9,+2.8,2010
New Orleans,11-6-0,64.7%,4.2,-1.8,2010
NY Giants,10-6-0,62.5%,2.9,-0.3,2010
Tampa Bay,10-6-0,62.5%,1.4,+3.3,2010
Philadelphia,10-7-0,58.8%,3.4,+0.8,2010
Indianapolis,10-7-0,58.8%,2.7,-0.9,2010
Kansas City,10-7-0,58.8%,1.0,+0.6,2010
LA Chargers,9-7-0,56.3%,7.4,+0.8,2010
Jacksonville,8-8-0,50.0%,-4.1,-1.5,2010
Las Vegas,8-8-0,50.0%,2.4,+5.6,2010
Seattle,8-10-0,44.4%,-5.7,-2.0,2010
LA Rams,7-9-0,43.8%,-2.4,-0.3,2010
Miami,7-9-0,43.8%,-3.8,-3.6,2010
Dallas,6-10-0,37.5%,-2.6,-3.5,2010
Washington,6-10-0,37.5%,-4.7,-1.0,2010
Minnesota,6-10-0,37.5%,-4.2,-3.3,2010
Detroit,6-10-0,37.5%,-0.4,+4.5,2010
Tennessee,6-10-0,37.5%,1.1,+1.1,2010
Houston,6-10-0,37.5%,-2.3,-2.2,2010
San Francisco,6-10-0,37.5%,-2.6,-3.0,2010
Arizona,5-11-0,31.3%,-9.1,-5.8,2010
Cleveland,5-11-0,31.3%,-3.8,+0.1,2010
Denver,4-12-0,25.0%,-7.9,-5.0,2010
Buffalo,4-12-0,25.0%,-8.9,-3.8,2010
Cincinnati,4-12-0,25.0%,-4.6,-1.3,2010
Carolina,2-14-0,12.5%,-13.3,-7.7,2010
Green Bay,15-2-0,88.2%,10.8,+2.5,2011
New England,15-4-0,79.0%,10.8,+3.1,2011
San Francisco,14-4-0,77.8%,8.4,+5.8,2011
New Orleans,14-4-0,77.8%,12.3,+6.0,2011
Baltimore,13-5-0,72.2%,6.4,+0.9,2011
Pittsburgh,12-5-0,70.6%,5.4,-0.2,2011
NY Giants,13-7-0,65.0%,2.0,+2.4,2011
Houston,11-7-0,61.1%,6.5,+4.3,2011
Atlanta,10-7-0,58.8%,1.8,-0.5,2011
Detroit,10-7-0,58.8%,4.1,+2.6,2011
Tennessee,9-7-0,56.3%,0.5,-0.5,2011
Cincinnati,9-8-0,52.9%,0.0,+0.6,2011
Las Vegas,8-8-0,50.0%,-4.6,-3.1,2011
LA Chargers,8-8-0,50.0%,1.8,-0.6,2011
Denver,9-9-0,50.0%,-6.1,-2.6,2011
NY Jets,8-8-0,50.0%,0.9,-1.6,2011
Philadelphia,8-8-0,50.0%,4.3,+0.6,2011
Arizona,8-8-0,50.0%,-2.3,+0.5,2011
Dallas,8-8-0,50.0%,1.4,-1.7,2011
Chicago,8-8-0,50.0%,0.8,+1.8,2011
Kansas City,7-9-0,43.8%,-7.9,-3.0,2011
Seattle,7-9-0,43.8%,0.4,+4.2,2011
Buffalo,6-10-0,37.5%,-3.9,-1.4,2011
Miami,6-10-0,37.5%,1.0,+3.3,2011
Carolina,6-10-0,37.5%,-1.4,+0.4,2011
Washington,5-11-0,31.3%,-4.9,-2.3,2011
Jacksonville,5-11-0,31.3%,-5.4,0.0,2011
Tampa Bay,4-12-0,25.0%,-12.9,-9.6,2011
Cleveland,4-12-0,25.0%,-5.6,-1.7,2011
Minnesota,3-13-0,18.8%,-6.8,-3.1,2011
LA Rams,2-14-0,12.5%,-13.4,-6.4,2011
Indianapolis,2-14-0,12.5%,-11.7,-4.0,2011
Atlanta,14-4-0,77.8%,6.6,+3.8,2012
Denver,13-4-0,76.5%,11.1,+5.8,2012
San Francisco,13-5-1,72.2%,7.3,+2.1,2012
New England,13-5-0,72.2%,12.4,+4.8,2012
Houston,13-5-0,72.2%,4.3,-1.4,2012
Baltimore,14-6-0,70.0%,4.5,+3.5,2012
Green Bay,12-6-0,66.7%,5.4,+0.2,2012
Seattle,12-6-0,66.7%,9.7,+8.6,2012
Indianapolis,11-6-0,64.7%,-2.6,+0.4,2012
Chicago,10-6-0,62.5%,6.1,+3.2,2012
Cincinnati,10-7-0,58.8%,3.8,+3.4,2012
Washington,10-7-0,58.8%,2.2,+3.3,2012
Minnesota,10-7-0,58.8%,1.0,+2.5,2012
NY Giants,9-7-0,56.3%,5.3,+2.9,2012
Dallas,8-8-0,50.0%,-1.5,-2.7,2012
Pittsburgh,8-8-0,50.0%,1.4,-1.3,2012
LA Rams,7-8-1,46.7%,-3.1,+1.5,2012
Tampa Bay,7-9-0,43.8%,-0.3,+1.1,2012
Carolina,7-9-0,43.8%,-0.4,+0.4,2012
LA Chargers,7-9-0,43.8%,0.0,-0.4,2012
Miami,7-9-0,43.8%,-1.8,+0.2,2012
New Orleans,7-9-0,43.8%,0.4,-0.4,2012
Buffalo,6-10-0,37.5%,-5.7,-3.6,2012
NY Jets,6-10-0,37.5%,-5.9,-4.2,2012
Tennessee,6-10-0,37.5%,-8.8,-4.8,2012
Cleveland,5-11-0,31.3%,-4.1,-0.2,2012
Arizona,5-11-0,31.3%,-6.7,-1.3,2012
Philadelphia,4-12-0,25.0%,-10.3,-8.8,2012
Detroit,4-12-0,25.0%,-4.1,-4.3,2012
Las Vegas,4-12-0,25.0%,-9.6,-5.7,2012
Jacksonville,2-14-0,12.5%,-11.8,-5.3,2012
Kansas City,2-14-0,12.5%,-13.4,-7.3,2012
Seattle,16-3-0,84.2%,12.4,+5.2,2013
Denver,15-4-0,79.0%,9.9,+1.2,2013
San Francisco,14-5-0,73.7%,7.6,+3.3,2013
New England,13-5-0,72.2%,6.5,+2.8,2013
Carolina,12-5-0,70.6%,6.6,+3.9,2013
Indianapolis,12-6-0,66.7%,1.9,+1.4,2013
New Orleans,12-6-0,66.7%,5.8,+2.9,2013
Cincinnati,11-6-0,64.7%,6.4,+3.3,2013
Kansas City,11-6-0,64.7%,7.3,+5.4,2013
Arizona,10-6-0,62.5%,3.4,+4.3,2013
Philadelphia,10-7-0,58.8%,3.4,+1.2,2013
LA Chargers,10-8-0,55.6%,3.2,+3.9,2013
NY Jets,8-8-0,50.0%,-6.1,-2.5,2013
Dallas,8-8-0,50.0%,0.4,+0.1,2013
Baltimore,8-8-0,50.0%,-2.0,-1.7,2013
