Key,TeamID,PlayerID,City,Name,Conference,Division,FullName,StadiumID,ByeWeek,GlobalTeamID,HeadCoach,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoURL,WikipediaWordMarkURL,OffensiveCoordinator,DefensiveCoordinator,SpecialTeamsCoach,OffensiveScheme,DefensiveScheme
ARI,1,1,Arizona,Cardinals,NFC,West,Arizona Cardinals,29,14,1,Jonathan Gannon,97233F,FFFFFF,000000,A5ACAF,https://upload.wikimedia.org/wikipedia/en/7/72/Arizona_Cardinals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/04/Arizona_Cardinals_wordmark.svg,Drew Petzing,Nick Rallis,Jeff Rodgers,3WR,3-4
ATL,2,2,Atlanta,Falcons,NFC,South,Atlanta Falcons,45,11,2,Arthur Smith,000000,A71930,A5ACAF,FFFFFF,https://upload.wikimedia.org/wikipedia/en/c/c5/Atlanta_Falcons_logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/ec/Atlanta_Falcons_wordmark.svg,Dave Ragone,Ryan Nielsen,Marquice Williams,3WR,3-4
BAL,3,36,Baltimore,Ravens,AFC,North,Baltimore Ravens,7,13,3,John Harbaugh,24135F,000000,9A7611,,https://upload.wikimedia.org/wikipedia/en/1/16/Baltimore_Ravens_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Baltimore_Ravens_wordmark.svg,Todd Monken,Mike Macdonald,Chris Horton,3WR,3-4
BUF,4,37,Buffalo,Bills,AFC,East,Buffalo Bills,1,13,4,Sean McDermott,00338D,C60C30,FFFFFF,00274D,https://upload.wikimedia.org/wikipedia/en/7/77/Buffalo_Bills_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Buffalo_Bills_wordmark.svg,Ken Dorsey,,Matthew Smiley,3WR,4-3
CAR,5,5,Carolina,Panthers,NFC,South,Carolina Panthers,26,7,5,Frank Reich,000000,0085CA,BFC0BF,,https://upload.wikimedia.org/wikipedia/en/1/1c/Carolina_Panthers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Carolina_Panthers_wordmark.svg,Thomas Brown,Ejiro Evero,Chris Tabor,3WR,3-4
CHI,6,38,Chicago,Bears,NFC,North,Chicago Bears,20,13,6,Matt Eberflus,0B162A,E64100,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/1/15/Chicago_Bears_logo_primary.svg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Chicago_Bears_wordmark.svg,Luke Getsy,,Richard Hightower,3WR,4-3
CIN,7,7,Cincinnati,Bengals,AFC,North,Cincinnati Bengals,5,7,7,Zac Taylor,000000,FB4F14,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/8/81/Cincinnati_Bengals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Cincinnati_Bengals_wordmark.svg,Brian Callahan,Lou Anarumo,Darrin Simmons,3WR,4-3
CLE,8,8,Cleveland,Browns,AFC,North,Cleveland Browns,6,5,8,Kevin Stefanski,311D00,FF3300,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/d/d9/Cleveland_Browns_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Cleveland_Browns_wordmark.svg,Alex Van Pelt,Jim Schwartz,Bubba Ventrone,3WR,4-3
DAL,9,48,Dallas,Cowboys,NFC,East,Dallas Cowboys,17,7,9,Mike McCarthy,002244,B0B7BC,00338D,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/1/15/Dallas_Cowboys.svg,https://upload.wikimedia.org/wikipedia/commons/b/be/Cowboys_wordmark.svg,Brian Schottenheimer,Dan Quinn,John Fassel,3WR,4-3
DEN,10,49,Denver,Broncos,AFC,West,Denver Broncos,13,9,10,Sean Payton,FC4C02,0A2343,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/44/Denver_Broncos_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Denver_Broncos_wordmark_%28c._1997%29.png,Joe Lombardi,Vance Joseph,Ben Kotwica,3WR,3-4
DET,11,11,Detroit,Lions,NFC,North,Detroit Lions,21,9,11,Dan Campbell,0076B6,B0B7BC,,,https://upload.wikimedia.org/wikipedia/en/7/71/Detroit_Lions_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/26/Detroit_Lions_wordmark.svg,Ben Johnson,Aaron Glenn,Dave Fipp,3WR,4-3
GB,12,12,Green Bay,Packers,NFC,North,Green Bay Packers,22,6,12,Matt LaFleur,203731,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/50/Green_Bay_Packers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/17/Green_Bay_Packers_wordmark.svg,Adam Stenavich,Joe Barry,Rich Bisaccia,3WR,3-4
HOU,13,13,Houston,Texans,AFC,South,Houston Texans,11,7,13,DeMeco Ryans,03202F,A71930,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/2/28/Houston_Texans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/6c/Houston_Texans_wordmark.svg,Bobby Slowik,Matt Burke,Frank Ross,3WR,4-3
IND,14,14,Indianapolis,Colts,AFC,South,Indianapolis Colts,9,11,14,Shane Steichen,013369,FFFFFF,A5ACAF,1D252C,https://upload.wikimedia.org/wikipedia/commons/0/00/Indianapolis_Colts_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/58/Indianapolis_Colts_new_wordmark.svg,Jim Bob Cooter,Gus Bradley,Brian Mason,3WR,4-3
JAX,15,52,Jacksonville,Jaguars,AFC,South,Jacksonville Jaguars,10,9,15,Doug Pederson,006778,000000,9F792C,,https://upload.wikimedia.org/wikipedia/en/7/74/Jacksonville_Jaguars_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Jacksonville_Jaguars_wordmark.svg,Press Taylor,Mike Caldwell,Heath Farwell,3WR,3-4
KC,16,55,Kansas City,Chiefs,AFC,West,Kansas City Chiefs,15,10,16,Andy Reid,E31837,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/e/e1/Kansas_City_Chiefs_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/79/Kansas_City_Chiefs_wordmark.svg,Matt Nagy,Steve Spagnuolo,Dave Toub,3WR,4-3
LAC,29,84,Los Angeles,Chargers,AFC,West,Los Angeles Chargers,54,5,29,Brandon Staley,0080C6,FFC20E,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/a/a6/Los_Angeles_Chargers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Los_Angeles_Chargers_2020_wordmark.svg,Kellen Moore,Derrick Ansley,Ryan Ficken,3WR,3-4
LAR,32,32,Los Angeles,Rams,NFC,West,Los Angeles Rams,54,10,32,Sean McVay,003594,FFD100,,,https://upload.wikimedia.org/wikipedia/en/8/8a/Los_Angeles_Rams_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7e/LA_Rams_wordmark.svg,Mike LaFleur,Raheem Morris,Chase Blackburn,3WR,3-4
LV,25,83,Las Vegas,Raiders,AFC,West,Las Vegas Raiders,53,13,25,Josh McDaniels,A5ACAF,000000,,,https://upload.wikimedia.org/wikipedia/en/4/48/Las_Vegas_Raiders_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/51/Las_Vegas_Raiders_wordmark.svg,Mick Lombardi,Patrick Graham,Tom McMahon,3WR,4-3
MIA,19,64,Miami,Dolphins,AFC,East,Miami Dolphins,2,10,19,Mike McDaniel,008E97,FC4C02,FFFFFF,005778,https://upload.wikimedia.org/wikipedia/en/3/37/Miami_Dolphins_logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Dolphins_textlogo13.png,Frank Smith,Vic Fangio,Danny Crossman,3WR,3-4
MIN,20,67,Minnesota,Vikings,NFC,North,Minnesota Vikings,42,13,20,Kevin O'Connell,4F2683,FFC62F,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/48/Minnesota_Vikings_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Minnesota_Vikings_wordmark.svg,Wes Phillips,Brian Flores,Matt Daniels,3WR,3-4
NE,21,21,New England,Patriots,AFC,East,New England Patriots,4,11,21,Bill Belichick,002244,C60C30,B0B7BC,FFFFFF,https://upload.wikimedia.org/wikipedia/en/b/b9/New_England_Patriots_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f5/New_England_Patriots_wordmark.svg,Bill O'Brien,,Cameron Achord,3WR,3-4
NO,22,69,New Orleans,Saints,NFC,South,New Orleans Saints,27,11,22,Dennis Allen,D3BC8D,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/50/New_Orleans_Saints_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/10/New_Orleans_Saints_first_wordmark.png,Pete Carmichael,Joe Woods,Darren Rizzi,3WR,4-3
NYG,23,75,New York,Giants,NFC,East,New York Giants,3,13,23,Brain Daboll,0B2265,A71930,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/6/60/New_York_Giants_logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Nygiants_textlogo.png,Mike Kafka,Don Martindale,Thomas McGaughey,3WR,3-4
NYJ,24,82,New York,Jets,AFC,East,New York Jets,3,7,24,Robert Saleh,115740,FFFFFF,000000,,https://upload.wikimedia.org/wikipedia/en/6/6b/New_York_Jets_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/b6/New_York_Jets_wordmark.svg,Nathaniel Hackett,Jeff Ulbrich,Brant Boyer,3WR,4-3
PHI,26,26,Philadelphia,Eagles,NFC,East,Philadelphia Eagles,18,10,26,Nick Sirianni,004851,A2AAAD,000000,FFFFFF,https://upload.wikimedia.org/wikipedia/en/8/8e/Philadelphia_Eagles_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Eagles_New_Wordmark_2022-present.png,Brian Johnson,Sean Desai,Michael Clay,3WR,4-3
PIT,28,28,Pittsburgh,Steelers,AFC,North,Pittsburgh Steelers,8,6,28,Mike Tomlin,000000,FFB612,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Pittsburgh_Steelers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Pittsburgh_Steelers_Script.svg,Matt Canada,Teryl Austin,Danny Smith,3WR,3-4
SEA,30,90,Seattle,Seahawks,NFC,West,Seattle Seahawks,31,5,30,Pete Carroll,002244,69BE28,A5ACAF,,https://upload.wikimedia.org/wikipedia/en/8/8e/Seattle_Seahawks_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/df/Seattle_Seahawks_wordmark.svg,Shane Waldron,Clint Hurtt,Larry Izzo,3WR,3-4
SF,31,93,San Francisco,49ers,NFC,West,San Francisco 49ers,37,9,31,Kyle Shanahan,AA0000,B3995D,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/3/3a/San_Francisco_49ers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/24/San_Francisco_49ers_wordmark.svg,,Steve Wilks,Brian Schneider,3WR,4-3
TB,33,95,Tampa Bay,Buccaneers,NFC,South,Tampa Bay Buccaneers,24,5,33,Todd Bowles,A71930,322F2B,DC4405,000000,https://upload.wikimedia.org/wikipedia/en/a/a2/Tampa_Bay_Buccaneers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Tampa_Bay_Buccaneers_wordmark.svg,Dave Canales,Kacy Rodgers & Larry Foote,Keith Armstrong,3WR,3-4
TEN,34,34,Tennessee,Titans,AFC,South,Tennessee Titans,12,7,34,Mike Vrabel,002244,4B92DB,C60C30,A5ACAF,https://upload.wikimedia.org/wikipedia/en/c/c1/Tennessee_Titans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/75/Tennessee_Titans_wordmark%2C_2018.svg,Tim Kelly,Shane Bowen,Craig Aukerman,3WR,3-4
WAS,35,97,Washington,Commanders,NFC,East,Washington Commanders,19,14,35,Ron Rivera,5A1414,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Washington_Commanders_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/76/Washingtoncommanders_wordmark.svg,Eric Bieniemy,Jack Del Rio,Nate Kaczor,3WR,4-3
